EGAZ00001018618_2014_ICGC_IcgcOvarian_AOCS061_1DNA_7PrimaryTumour_ICGCDBPC20130205023_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	137GB	Aug 12, 2016 6:55:00 AM
EGAZ00001018619_2014_ICGC_IcgcOvarian_AOCS162_1DNA_7PrimaryTumour_ICGCDBDE20130904016_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	117GB	Aug 12, 2016 5:28:00 AM
EGAZ00001018620_2014_ICGC_130906_D81P8DQ1_0157_C270DACXX.nopd.AOCS_060_ICGCDBDE20130916007.rsem.bam.aes	31GB	Aug 11, 2016 10:42:00 PM
EGAZ00001018621_2014_ICGC_IcgcOvarian_AOCS130_1DNA_1NormalBlood_ICGCDBPC20130205115_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	112GB	Aug 12, 2016 6:13:00 AM
EGAZ00001018622_2014_ICGC_IcgcOvarian_AOCS065_1DNA_1NormalBlood_ICGCDBPC20130205030_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	89GB	Aug 12, 2016 3:46:00 AM
EGAZ00001018623_2014_ICGC_IcgcOvarian_AOCS152_1DNA_1NormalBlood_ICGCDBPC20130205173_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	101GB	Aug 12, 2016 4:44:00 AM
EGAZ00001018624_2014_ICGC_IcgcOvarian_AOCS135_1DNA_1NormalBlood_ICGCDBPC20130205138_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	134GB	Aug 12, 2016 7:19:00 AM
EGAZ00001018625_2014_ICGC_IcgcOvarian_AOCS116_1DNA_1NormalBlood_ICGCDBPC20130205093_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	106GB	Aug 12, 2016 5:30:00 AM
EGAZ00001018626_2014_ICGC_130906_D81P8DQ1_0157_C270DACXX.nopd.AOCS_083_ICGCDBDE20130916016.rsem.bam.aes	33GB	Aug 11, 2016 11:48:00 PM
EGAZ00001018627_2014_ICGC_IcgcOvarian_AOCS170_1DNA_1NormalBlood_ICGCDBDE20131003010_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	89GB	Aug 12, 2016 5:25:00 AM
EGAZ00001018628_2014_ICGC_130906_D81P8DQ1_0157_C270DACXX.nopd.AOCS_137_ICGCDBDE20130916036.rsem.bam.aes	56GB	Aug 12, 2016 3:53:00 AM
EGAZ00001018629_2014_ICGC_IcgcOvarian_AOCS138_1DNA_12Ascites_ICGCDBPC20130205146_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.oholmes.bam.aes	121GB	Aug 12, 2016 8:30:00 AM
EGAZ00001018630_2014_ICGC_IcgcOvarian_AOCS168_1DNA_1NormalBlood_ICGCDBDE20131003005_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	64GB	Aug 12, 2016 5:03:00 AM
EGAZ00001018631_2014_ICGC_IcgcOvarian_AOCS141_1DNA_12Ascites_ICGCDBPC20130205153_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	113GB	Aug 12, 2016 8:25:00 AM
EGAZ00001018632_2014_ICGC_IcgcOvarian_AOCS002_1DNA_1NormalBlood_ICGCDBPC20130205123_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	93GB	Aug 12, 2016 7:23:00 AM
EGAZ00001018633_2014_ICGC_131206_EXTERN_0043_AC29RDACXX.nopd.AOCS_143_ICGCDBDE20131122005.rsem.bam.aes	27GB	Aug 12, 2016 3:29:00 AM
EGAZ00001018634_2014_ICGC_131206_EXTERN_0043_AC29RDACXX.nopd.AOCS_086_ICGCDBLG2010102755TR.rsem.bam.aes	28GB	Aug 12, 2016 2:52:00 AM
EGAZ00001018635_2014_ICGC_131206_EXTERN_0043_AC29RDACXX.nopd.AOCS_095_ICGCDBDE20131122004.rsem.bam.aes	24GB	Aug 12, 2016 5:46:00 AM
EGAZ00001018636_2014_ICGC_IcgcOvarian_AOCS108_1DNA_1NormalBlood_ICGCDBPC20130205083_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	117GB	Aug 12, 2016 11:32:00 AM
EGAZ00001018637_2014_ICGC_130906_D81P8DQ1_0158_D2B80ACXX.nopd.AOCS_142_ICGCDBDE20130916039.rsem.bam.aes	24GB	Aug 12, 2016 6:51:00 AM
EGAZ00001018638_2014_ICGC_130906_D81P8DQ1_0153_C2704ACXX.nopd.AOCS_078_ICGCDBDE20130916013.rsem.bam.aes	31GB	Aug 12, 2016 7:44:00 AM
EGAZ00001018639_2014_ICGC_131206_EXTERN_0045_AC2KJBACXX.nopd.AOCS_132_ICGCDBDE20131122032.rsem.bam.aes	23GB	Aug 10, 2016 1:54:00 PM
EGAZ00001018640_2014_ICGC_IcgcOvarian_AOCS133_1DNA_7PrimaryTumour_ICGCDBPC20130607002_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	117GB	Aug 12, 2016 1:15:00 PM
EGAZ00001018641_2014_ICGC_IcgcOvarian_AOCS002_1DNA_7PrimaryTumour_ICGCDBPC20130205124_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	124GB	Aug 12, 2016 1:46:00 PM
EGAZ00001018642_2014_ICGC_140227_EXTERN_0128_AC2V5YACXX.nopd.AOCS_171_EXTERNAOCS20140227014.rsem.bam.aes	19GB	Aug 10, 2016 1:30:00 PM
EGAZ00001018643_2014_ICGC_IcgcOvarian_AOCS095_1DNA_12Ascites_ICGCDBPC20130205068_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	137GB	Aug 12, 2016 2:41:00 PM
